Код,Название,Адрес,x,y,,,,,,,,Группа
315,Алатау,"Байтерекова, 1/1",69.624018,42.342829,,,,,,,,
316,АЛЕМ,"Тауке Хана проспект, 99",69.62054,42.312999,,,,,,,,
317,Алем,"Казына, 14",69.572208,42.353868,,,,,,,,
318,Ален,"Байтурсынова, 88Б, 1 этаж",69.604528,42.344646,,,,,,,,
319,Ален,"Ерманова, 13/1, 1 этаж",69.599361,42.305358,,,,,,,,
320,Али,"Бекболатова, 93",69.526263,42.298939,,,,,,,,
321,Али,"3-й микрорайон, 12а",69.576596,42.327113,,,,,,,,
322,Али,"Жандосова, 215",69.575215,42.344673,,,,,,,,
323,Алибек,"18-й микрорайон, 45, 1 этаж",69.629142,42.336671,,,,,,,,
324,АлиЖас,"Кожанова, 22",69.583065,42.332505,,,,,,,,
325,Алима,"Толе би, 22а",69.610128,42.307112,,,,,,,,
326,Алима Апа,"Гулдала, 615/2",69.67062,42.372837,,,,,,,,
327,Алимжан ата,"4-й микрорайон, 14/1",69.573088,42.337918,,,,,,,,
328,Алина,"Зердели, 1а, 1 этаж",69.552974,42.317264,,,,,,,,
329,Алина,"Шокана Уалиханова, 233а, 1 этаж",69.644841,42.329265,,,,,,,,
330,Алинур,"Астана микрорайон, 71",69.651098,42.353695,,,,,,,,
